X,Y
289214.8125,4972519.0
289314.8125,4972519.0
289314.8125,4972494.0
289364.8125,4972494.0
289364.8125,4972469.0
289389.8125,4972469.0
289389.8125,4972444.0
289414.8125,4972444.0
289414.8125,4972394.0
289439.8125,4972394.0
289439.8125,4972369.0
289464.8125,4972369.0
289464.8125,4972344.0
289489.8125,4972344.0
289489.8125,4972294.0
289514.8125,4972294.0
289514.8125,4972269.0
289539.8125,4972269.0
289539.8125,4972219.0
289564.8125,4972219.0
289564.8125,4972194.0
289589.8125,4972194.0
289589.8125,4972119.0
289614.8125,4972119.0
289614.8125,4972044.0
289639.8125,4972044.0
289639.8125,4971894.0
289664.8125,4971894.0
289664.8125,4971394.0
289689.8125,4971394.0
289689.8125,4971319.0
289714.8125,4971319.0
289714.8125,4971294.0
289739.8125,4971294.0
289739.8125,4971244.0
289764.8125,4971244.0
289764.8125,4971194.0
289789.8125,4971194.0
289789.8125,4971144.0
289839.8125,4971144.0
289839.8125,4971119.0
289864.8125,4971119.0
289864.8125,4971094.0
289914.8125,4971094.0
289914.8125,4971069.0
289939.8125,4971069.0
289939.8125,4971019.0
289989.8125,4971019.0
289989.8125,4970994.0
290064.8125,4970994.0
290064.8125,4970969.0
290189.8125,4970969.0
290189.8125,4970944.0
290214.8125,4970944.0
290214.8125,4970919.0
290239.8125,4970919.0
290239.8125,4970894.0
290264.8125,4970894.0
290264.8125,4970869.0
290289.8125,4970869.0
290289.8125,4970844.0
290339.8125,4970844.0
290339.8125,4970819.0
290364.8125,4970819.0
290364.8125,4970794.0
290414.8125,4970794.0
290414.8125,4970769.0
290439.8125,4970769.0
290439.8125,4970744.0
290489.8125,4970744.0
290489.8125,4970694.0
290589.8125,4970694.0
290589.8125,4970719.0
290564.8125,4970719.0
290564.8125,4970744.0
290514.8125,4970744.0
290514.8125,4970769.0
290489.8125,4970769.0
290489.8125,4970819.0
290464.8125,4970819.0
290464.8125,4970869.0
290489.8125,4970869.0
290489.8125,4970894.0
290614.8125,4970894.0
290614.8125,4970869.0
290639.8125,4970869.0
290639.8125,4970844.0
290664.8125,4970844.0
290664.8125,4970794.0
290639.8125,4970794.0
290639.8125,4970769.0
290664.8125,4970769.0
290664.8125,4970744.0
290639.8125,4970744.0
290639.8125,4970719.0
290764.8125,4970719.0
290764.8125,4970694.0
290814.8125,4970694.0
290814.8125,4970619.0
290739.8125,4970619.0
290739.8125,4970469.0
290764.8125,4970469.0
290764.8125,4970419.0
290839.8125,4970419.0
290839.8125,4970394.0
290914.8125,4970394.0
290914.8125,4970269.0
290889.8125,4970269.0
290889.8125,4970094.0
290839.8125,4970094.0
290839.8125,4970069.0
290814.8125,4970069.0
290814.8125,4970044.0
290764.8125,4970044.0
290764.8125,4970069.0
290689.8125,4970069.0
290689.8125,4970044.0
290639.8125,4970044.0
290639.8125,4970019.0
290564.8125,4970019.0
290564.8125,4969994.0
290539.8125,4969994.0
290539.8125,4969969.0
290464.8125,4969969.0
290464.8125,4970019.0
290439.8125,4970019.0
290439.8125,4969944.0
290314.8125,4969944.0
290314.8125,4969844.0
290289.8125,4969844.0
290289.8125,4969794.0
290189.8125,4969794.0
290189.8125,4969819.0
290164.8125,4969819.0
290164.8125,4969769.0
290139.8125,4969769.0
290139.8125,4969719.0
290089.8125,4969719.0
290089.8125,4969694.0
290014.8125,4969694.0
290014.8125,4969719.0
289989.8125,4969719.0
289989.8125,4969644.0
289914.8125,4969644.0
289914.8125,4969669.0
289889.8125,4969669.0
289889.8125,4969719.0
289864.8125,4969719.0
289864.8125,4969619.0
289839.8125,4969619.0
289839.8125,4969594.0
289764.8125,4969594.0
289764.8125,4969644.0
289614.8125,4969644.0
289614.8125,4969669.0
289589.8125,4969669.0
289589.8125,4969744.0
289614.8125,4969744.0
289614.8125,4969769.0
289639.8125,4969769.0
289639.8125,4969794.0
289589.8125,4969794.0
289589.8125,4969869.0
289564.8125,4969869.0
289564.8125,4969819.0
289439.8125,4969819.0
289439.8125,4969894.0
289464.8125,4969894.0
289464.8125,4969994.0
289439.8125,4969994.0
289439.8125,4969944.0
289414.8125,4969944.0
289414.8125,4969919.0
289339.8125,4969919.0
289339.8125,4969894.0
289314.8125,4969894.0
289314.8125,4969844.0
289289.8125,4969844.0
289289.8125,4969869.0
289264.8125,4969869.0
289264.8125,4969919.0
289239.8125,4969919.0
289239.8125,4970019.0
289289.8125,4970019.0
289289.8125,4969994.0
289314.8125,4969994.0
289314.8125,4969944.0
289339.8125,4969944.0
289339.8125,4970019.0
289314.8125,4970019.0
289314.8125,4970069.0
289289.8125,4970069.0
289289.8125,4970144.0
289189.8125,4970144.0
289189.8125,4970119.0
289139.8125,4970119.0
289139.8125,4970044.0
289164.8125,4970044.0
289164.8125,4969969.0
289139.8125,4969969.0
289139.8125,4969919.0
289114.8125,4969919.0
289114.8125,4969944.0
289014.8125,4969944.0
289014.8125,4969969.0
288989.8125,4969969.0
288989.8125,4970019.0
288964.8125,4970019.0
288964.8125,4970044.0
288939.8125,4970044.0
288939.8125,4970069.0
288889.8125,4970069.0
288889.8125,4970094.0
288939.8125,4970094.0
288939.8125,4970169.0
288964.8125,4970169.0
288964.8125,4970244.0
289014.8125,4970244.0
289014.8125,4970269.0
289039.8125,4970269.0
289039.8125,4970244.0
289089.8125,4970244.0
289089.8125,4970344.0
289114.8125,4970344.0
289114.8125,4970369.0
289139.8125,4970369.0
289139.8125,4970394.0
289189.8125,4970394.0
289189.8125,4970444.0
289089.8125,4970444.0
289089.8125,4970519.0
289039.8125,4970519.0
289039.8125,4970494.0
289014.8125,4970494.0
289014.8125,4970469.0
288964.8125,4970469.0
288964.8125,4970319.0
288939.8125,4970319.0
288939.8125,4970244.0
288864.8125,4970244.0
288864.8125,4970169.0
288839.8125,4970169.0
288839.8125,4970144.0
288814.8125,4970144.0
288814.8125,4970094.0
288739.8125,4970094.0
288739.8125,4970169.0
288664.8125,4970169.0
288664.8125,4970119.0
288689.8125,4970119.0
288689.8125,4970094.0
288664.8125,4970094.0
288664.8125,4970069.0
288564.8125,4970069.0
288564.8125,4970044.0
288514.8125,4970044.0
288514.8125,4970069.0
288489.8125,4970069.0
288489.8125,4970169.0
288514.8125,4970169.0
288514.8125,4970219.0
288364.8125,4970219.0
288364.8125,4970244.0
288289.8125,4970244.0
288289.8125,4970269.0
288239.8125,4970269.0
288239.8125,4970369.0
288264.8125,4970369.0
288264.8125,4970394.0
288289.8125,4970394.0
288289.8125,4970419.0
288364.8125,4970419.0
288364.8125,4970469.0
288389.8125,4970469.0
288389.8125,4970494.0
288439.8125,4970494.0
288439.8125,4970519.0
288489.8125,4970519.0
288489.8125,4970569.0
288514.8125,4970569.0
288514.8125,4970619.0
288589.8125,4970619.0
288589.8125,4970644.0
288689.8125,4970644.0
288689.8125,4970669.0
288739.8125,4970669.0
288739.8125,4970694.0
288789.8125,4970694.0
288789.8125,4970719.0
288814.8125,4970719.0
288814.8125,4970769.0
288839.8125,4970769.0
288839.8125,4970794.0
288864.8125,4970794.0
288864.8125,4970869.0
288889.8125,4970869.0
288889.8125,4970919.0
288964.8125,4970919.0
288964.8125,4970994.0
288989.8125,4970994.0
288989.8125,4971044.0
289014.8125,4971044.0
289014.8125,4971119.0
289064.8125,4971119.0
289064.8125,4971144.0
289089.8125,4971144.0
289089.8125,4971244.0
289114.8125,4971244.0
289114.8125,4971294.0
289139.8125,4971294.0
289139.8125,4971344.0
289164.8125,4971344.0
289164.8125,4971369.0
289189.8125,4971369.0
289189.8125,4971444.0
289214.8125,4971444.0
289214.8125,4971494.0
289239.8125,4971494.0
289239.8125,4971569.0
289264.8125,4971569.0
289264.8125,4971644.0
289289.8125,4971644.0
289289.8125,4971744.0
289314.8125,4971744.0
289314.8125,4971944.0
289339.8125,4971944.0
289339.8125,4972069.0
289314.8125,4972069.0
289314.8125,4972169.0
289289.8125,4972169.0
289289.8125,4972219.0
289264.8125,4972219.0
289264.8125,4972269.0
289239.8125,4972269.0
289239.8125,4972344.0
289214.8125,4972344.0
289214.8125,4972519.0
